Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,EFF
106,Jaylon Tyson,22,CLE,SG,4,0,7.8,1.8,3.8,46.7,1.3,2.3,55.60000000000001,0.5,1.5,33.300000000000004,63.3,1.3,1.5,83.3,0.8,1.0,1.8,1.8,0.5,0.3,0.5,1.0,6.0,,6.7
107,Aaron Wiggins,26,OKC,SG,22,0,13.8,2.1,5.4,39.5,1.1,3.1,36.2,1.0,2.3,44.0,50.0,0.6,0.8,76.5,0.6,1.6,2.3,0.9,0.5,0.3,0.8,1.0,6.0,,4.700000000000001
108,Kyle Kuzma,29,MIL,PF,5,4,20.4,2.4,7.0,34.300000000000004,0.4,2.0,20.0,2.0,5.0,40.0,37.1,0.6,1.2,50.0,0.6,1.6,2.2,0.8,0.0,0.2,0.6,2.4,5.8,,0.8000000000000007
109,Miles McBride,24,NYK,PG,18,0,18.9,1.9,5.0,37.8,1.2,3.3,37.3,0.7,1.7,38.7,50.0,0.8,0.9,82.39999999999999,0.2,1.0,1.2,1.0,0.4,0.1,0.6,1.2,5.8,,3.5
110,Sam Merrill,28,CLE,SG,8,3,19.9,1.9,5.0,37.5,1.8,4.9,35.9,0.1,0.1,10.0,55.00000000000001,0.3,0.4,66.7,0.9,1.6,2.5,1.8,0.5,0.3,0.3,2.3,5.8,,5.100000000000003
111,Steven Adams,31,HOU,C,7,0,22.1,1.7,2.9,60.0,0.0,0.0,,1.7,2.9,60.0,60.0,2.3,4.3,53.3,3.3,3.3,6.6,0.6,0.4,1.1,0.7,1.0,5.7,,9.5
112,Nicolas Batum,36,LAC,PF,7,0,24.6,1.9,4.7,39.4,1.9,4.7,39.4,0.0,0.0,,59.1,0.0,0.0,,0.6,3.3,3.9,2.0,0.9,1.7,0.4,1.9,5.6,,9.0
113,Cason Wallace,21,OKC,SG,23,3,22.4,2.2,5.2,42.9,0.9,2.7,32.300000000000004,1.3,2.5,54.400000000000006,51.3,0.3,0.4,66.7,1.0,1.7,2.7,2.1,1.4,0.4,0.7,2.2,5.6,,6.200000000000001
114,Kobe Brown,25,LAC,PF,3,0,5.0,2.3,2.7,87.5,0.3,0.3,10.0,2.0,2.3,85.7,93.8,0.3,0.3,10.0,0.0,0.3,0.3,1.3,0.0,0.0,0.0,0.0,5.3,,6.499999999999999
115,Isaiah Joe,25,OKC,SG,21,0,10.0,1.7,3.5,49.3,1.1,2.7,41.1,0.6,0.8,76.5,65.10000000000001,0.6,0.7,85.7,0.3,1.0,1.4,0.7,0.3,0.1,0.3,0.6,5.1,,4.799999999999999
116,Kentavious Caldwell-Pope,31,ORL,SG,5,5,32.6,1.6,6.0,26.700000000000003,1.2,4.6,26.1,0.4,1.4,28.6,36.7,0.6,0.8,75.0,0.2,2.8,3.0,1.8,1.4,0.6,0.4,2.2,5.0,,4.6000000000000005
117,Cory Joseph,33,ORL,PG,5,5,24.8,2.0,4.8,41.7,1.0,3.2,31.3,1.0,1.6,62.5,52.1,0.0,0.0,,0.2,1.6,1.8,3.0,1.0,0.4,0.4,2.0,5.0,,6.000000000000002
118,Pelle Larsson,23,MIA,SG,4,0,13.0,2.0,3.8,53.3,0.8,2.0,37.5,1.3,1.8,71.39999999999999,63.3,0.3,0.8,33.300000000000004,0.5,1.8,2.3,1.0,0.3,0.0,0.5,1.5,5.0,,4.300000000000002
119,Brook Lopez,36,MIL,C,5,4,14.8,1.6,4.4,36.4,0.8,3.0,26.700000000000003,0.8,1.4,57.1,45.5,1.0,1.0,10.0,0.6,1.0,1.6,0.8,0.2,1.0,0.8,2.2,5.0,,2.799999999999999
120,Kel'el Ware,20,MIA,C,4,4,18.3,2.0,4.5,44.4,0.8,2.8,27.3,1.3,1.8,71.39999999999999,52.8,0.0,0.0,,1.0,3.8,4.8,1.0,0.3,0.5,0.5,0.8,4.8,,7.6000000000000005
121,Mitchell Robinson,26,NYK,C,18,4,20.6,1.7,2.8,60.8,0.0,0.0,,1.7,2.8,60.8,60.8,1.2,3.1,39.3,3.7,3.3,7.1,0.4,0.9,0.8,0.7,2.1,4.7,,8.100000000000001
122,Vince Williams Jr.,24,MEM,SG,3,0,12.7,1.3,2.3,57.1,1.3,2.3,57.1,0.0,0.0,,85.7,0.7,0.7,10.0,0.3,2.0,2.3,1.3,0.7,0.3,1.0,1.0,4.7,,6.300000000000001
123,Isaac Okoro,24,CLE,SG,9,0,14.2,1.7,3.3,50.0,0.7,1.8,37.5,1.0,1.6,64.3,60.0,0.6,0.9,62.5,0.4,0.8,1.2,0.6,0.7,0.1,0.4,1.4,4.6,,3.5
124,Gary Payton II,32,GSW,SG,11,1,16.4,1.9,4.3,44.7,0.8,2.1,39.1,1.1,2.2,50.0,54.3,0.0,0.0,,0.9,1.3,2.2,1.5,0.9,0.0,0.5,1.9,4.6,,4.400000000000001
125,Terrence Shannon Jr.,24,MIN,SG,9,0,6.3,1.4,3.0,48.1,0.3,0.9,37.5,1.1,2.1,52.6,53.7,1.3,1.3,10.0,0.1,1.0,1.1,0.3,0.4,0.0,0.3,1.0,4.6,,3.499999999999999
126,Luke Kennard,28,MEM,SG,4,0,20.0,2.0,4.5,44.4,0.5,2.3,22.2,1.5,2.3,66.7,50.0,0.0,0.0,,0.5,3.0,3.5,2.0,1.0,0.3,1.5,0.8,4.5,,6.500000000000001
127,Luke Kornet,29,BOS,C,11,1,16.4,1.9,2.6,72.39999999999999,0.0,0.0,,1.9,2.6,72.39999999999999,72.39999999999999,0.7,0.7,10.0,1.5,2.5,3.9,0.5,0.5,1.2,0.5,1.8,4.5,,7.6
128,Pat Spencer,28,GSW,PG,8,0,7.9,2.0,3.1,64.0,0.1,0.4,33.300000000000004,1.9,2.8,68.2,66.0,0.4,0.4,10.0,0.6,0.8,1.4,0.8,0.4,0.0,0.8,1.1,4.5,,4.1000000000000005
129,Peyton Watson,22,DEN,SF,14,0,14.2,1.7,4.2,40.7,0.5,1.4,36.8,1.2,2.9,42.5,46.6,0.6,1.1,50.0,1.0,1.9,2.9,0.3,0.8,0.6,0.6,1.5,4.5,,4.0
130,Leonard Miller,21,MIN,SF,3,0,4.3,2.0,2.7,75.0,0.3,0.3,10.0,1.7,2.3,71.39999999999999,81.3,0.0,0.0,,1.0,0.7,1.7,0.0,0.0,0.0,0.3,0.0,4.3,,5.0
131,Duncan Robinson,30,MIA,SF,4,0,14.8,1.3,3.5,35.7,1.0,3.0,33.300000000000004,0.3,0.5,50.0,50.0,0.8,1.0,75.0,0.0,1.0,1.0,0.3,0.0,0.0,1.5,1.5,4.3,,0.1999999999999993
132,Kevin Knox,25,GSW,SF,5,0,7.6,1.6,4.0,40.0,0.2,1.2,16.7,1.4,2.8,50.0,42.5,0.8,1.0,80.0,0.6,0.8,1.4,0.8,0.0,0.2,0.4,0.4,4.2,,3.1999999999999993
133,Julian Strawther,22,DEN,SG,9,0,9.8,1.4,3.3,43.3,0.7,1.3,50.0,0.8,2.0,38.9,53.3,0.7,0.8,85.7,0.4,0.6,1.0,0.2,0.2,0.1,0.6,1.2,4.2,,1.9000000000000004
