Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,EFF
195,Julian Champagnie,23,SAS,SF,82,29,23.6,3.4,8.1,41.5,2.2,5.9,37.1,1.2,2.3,53.0,54.900000000000006,1.0,1.1,90.4,0.8,3.1,3.9,1.4,0.7,0.4,0.9,1.4,9.9,,9.200000000000001
196,Scotty Pippen Jr.,24,MEM,PG,79,21,21.3,3.6,7.5,48.0,1.1,2.8,39.7,2.5,4.7,52.8,55.3,1.5,2.2,71.3,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.6,9.9,,10.400000000000002
197,Nick Smith Jr.,20,CHO,SG,60,27,22.8,3.7,9.5,39.1,1.7,5.1,34.0,2.0,4.4,45.0,48.2,0.7,0.8,93.5,0.2,1.9,2.1,2.4,0.3,0.1,1.4,1.3,9.9,,6.200000000000001
198,Bub Carrington,19,WAS,PG,82,57,30.0,3.7,9.1,40.1,1.7,5.0,33.900000000000006,2.0,4.2,47.5,49.3,0.8,1.0,81.2,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,9.8,,9.8
199,Moses Moody,22,GSW,SG,74,34,22.3,3.3,7.7,43.3,1.7,4.6,37.4,1.6,3.1,51.9,54.400000000000006,1.4,1.8,79.7,0.7,1.9,2.6,1.3,0.8,0.4,0.7,1.6,9.8,,7.800000000000002
200,Amir Coffey,27,LAC,SG,72,13,24.3,3.3,7.1,47.1,1.4,3.4,40.9,1.9,3.7,52.900000000000006,56.99999999999999,1.6,1.8,89.1,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7,,7.399999999999998
201,Max Christie,21,2TM,SG,78,36,27.3,3.2,7.6,42.7,1.5,4.0,36.6,1.8,3.5,49.6,52.5,1.7,1.9,85.5,0.5,2.8,3.3,1.9,0.8,0.4,1.1,1.5,9.6,,8.8
201,Max Christie,21,LAL,SG,46,25,25.1,2.8,6.3,44.4,1.3,3.5,36.8,1.5,2.7,54.400000000000006,54.900000000000006,1.6,1.9,85.1,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,,7.7
201,Max Christie,21,DAL,SG,32,11,30.4,3.9,9.4,41.1,1.7,4.7,36.4,2.2,4.7,45.7,50.2,1.8,2.0,86.2,0.4,3.8,4.2,2.5,0.9,0.3,1.5,1.3,11.2,,10.599999999999998
202,Kyle Filipowski,21,UTA,C,72,27,21.1,3.6,7.2,50.2,1.1,3.1,35.0,2.5,4.1,61.4,57.6,1.3,2.0,65.0,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,9.6,,10.499999999999998
203,Tosan Evbuomwan,23,BRK,SF,28,0,23.8,3.4,7.9,42.7,0.9,2.8,31.2,2.5,5.1,49.0,48.2,2.0,2.6,75.3,1.1,3.1,4.3,2.0,0.9,0.4,1.4,2.0,9.5,,8.599999999999998
204,Miles McBride,24,NYK,PG,64,10,24.9,3.5,8.5,40.6,1.8,4.9,36.9,1.7,3.7,45.5,51.1,0.8,1.0,81.3,0.7,1.8,2.5,2.9,1.0,0.3,0.6,1.7,9.5,,8.7
205,Jalen Wilson,24,BRK,PF,79,22,25.7,3.1,7.8,39.7,1.5,4.6,33.7,1.6,3.3,48.1,49.5,1.7,2.1,81.8,0.9,2.5,3.4,1.8,0.5,0.1,1.0,2.1,9.5,,7.100000000000001
206,Nickeil Alexander-Walker,26,MIN,SG,82,10,25.3,3.3,7.5,43.8,1.7,4.5,38.1,1.6,3.0,52.400000000000006,55.3,1.1,1.4,78.0,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4,6MOY-6,8.900000000000002
207,Cole Anthony,24,ORL,PG,67,22,18.4,3.4,8.1,42.4,1.1,3.3,35.3,2.3,4.9,47.1,49.4,1.4,1.7,82.3,0.7,2.4,3.0,2.9,0.7,0.5,1.5,2.3,9.4,,7.699999999999999
208,Anthony Black,21,ORL,PG,78,10,24.2,3.4,7.9,42.3,0.8,2.5,31.8,2.6,5.4,47.1,47.3,1.9,2.5,76.1,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4,,8.100000000000001
209,Max Strus,28,CLE,SF,50,37,25.5,3.3,7.5,44.2,2.3,5.9,38.6,1.0,1.6,65.0,59.4,0.6,0.7,82.39999999999999,1.1,3.3,4.3,3.2,0.5,0.2,1.1,2.1,9.4,,10.099999999999998
210,Tristan Vukcevic,21,WAS,C,35,1,14.7,3.4,6.9,49.6,1.1,2.9,37.3,2.3,4.0,58.6,57.4,1.5,1.9,77.60000000000001,0.7,3.0,3.7,1.1,0.3,0.7,1.2,1.6,9.4,,8.5
211,Cam Whitmore,20,HOU,SF,51,3,16.2,3.5,7.9,44.4,1.3,3.6,35.5,2.2,4.3,51.8,52.5,1.1,1.4,75.0,0.7,2.3,3.0,1.0,0.6,0.3,0.9,0.9,9.4,,7.800000000000001
212,Nick Richards,27,2TM,C,57,43,22.0,3.6,6.1,59.1,0.0,0.0,0.0,3.6,6.1,59.4,59.1,2.1,2.8,74.4,2.6,5.6,8.2,0.9,0.2,1.0,1.4,2.5,9.3,,12.499999999999998
212,Nick Richards,27,CHO,C,21,9,21.0,3.0,5.4,56.10000000000001,0.0,0.0,0.0,3.0,5.4,56.6,56.10000000000001,2.8,4.1,67.80000000000001,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,,11.599999999999998
212,Nick Richards,27,PHO,C,36,34,22.7,3.9,6.5,60.5,0.0,0.0,0.0,3.9,6.4,60.8,60.5,1.7,2.0,82.19999999999999,2.7,5.9,8.6,0.6,0.2,0.8,1.3,2.6,9.5,,12.900000000000002
213,Kel'el Ware,20,MIA,C,64,36,22.2,4.0,7.3,55.400000000000006,0.5,1.7,31.5,3.5,5.5,62.9,59.2,0.7,1.0,68.7,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,9.3,ROY-6,13.100000000000005
214,Zach Edey,22,MEM,C,66,55,21.5,3.8,6.6,57.99999999999999,0.3,0.8,34.599999999999994,3.5,5.8,61.2,60.0,1.4,1.9,70.89999999999999,3.5,4.8,8.3,1.0,0.5,1.3,1.3,2.8,9.2,ROY-5,12.900000000000002
215,Wendell Carter Jr.,25,ORL,C,68,51,25.9,3.3,7.2,46.0,0.5,2.3,23.4,2.8,4.9,56.8,49.8,1.9,2.6,73.7,2.2,5.0,7.2,2.0,0.8,0.6,1.1,2.9,9.1,,11.100000000000001
216,Noah Clowney,20,BRK,PF,46,20,22.7,2.9,8.1,35.8,1.9,5.7,33.300000000000004,1.0,2.4,41.4,47.4,1.5,1.7,83.8,0.9,3.0,3.9,0.9,0.5,0.5,1.0,2.3,9.1,,6.200000000000001
217,Dalton Knecht,23,LAL,SF,78,16,19.2,3.3,7.1,46.1,1.6,4.4,37.6,1.7,2.8,59.4,57.6,0.8,1.1,76.2,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1,,7.3
218,A.J. Lawson,24,TOR,SG,26,2,18.7,3.1,7.3,42.1,1.3,3.9,32.7,1.8,3.4,52.8,50.8,1.7,2.4,68.30000000000001,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,,7.099999999999998
219,T.J. McConnell,32,IND,PG,79,1,17.9,4.1,7.9,51.9,0.2,0.6,30.6,3.9,7.3,53.7,53.1,0.7,1.0,74.0,0.6,1.9,2.4,4.4,1.1,0.3,1.4,1.0,9.1,,10.8
220,Yves Missi,20,NOP,C,73,67,26.8,3.7,6.7,54.7,0.0,0.0,0.0,3.7,6.7,54.8,54.7,1.7,2.8,62.3,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2.0,9.1,,13.299999999999997
221,Royce O'Neale,31,PHO,SF,75,22,24.5,3.2,7.6,42.3,2.4,5.9,40.6,0.8,1.7,48.1,57.99999999999999,0.3,0.3,73.1,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2.0,9.1,,10.1
222,Jared Butler,24,2TM,SG,60,17,17.4,3.4,7.6,44.8,1.0,2.8,35.5,2.4,4.7,50.4,51.4,1.3,1.5,82.39999999999999,0.4,1.4,1.8,3.7,0.7,0.2,1.3,1.6,9.0,,8.099999999999998
222,Jared Butler,24,WAS,PG,32,0,11.3,2.7,5.5,48.3,0.5,1.3,36.6,2.2,4.2,51.9,52.6,1.1,1.4,77.8,0.4,0.8,1.3,2.6,0.4,0.2,0.9,1.3,6.9,,6.1000000000000005
222,Jared Butler,24,PHI,SG,28,17,24.4,4.2,9.9,42.6,1.6,4.6,35.2,2.6,5.3,49.0,50.7,1.4,1.6,87.0,0.4,2.1,2.5,4.9,1.1,0.3,1.8,2.0,11.5,,10.600000000000001
